4, 745
12, 623
19, 634
32, 631
34, 766
52, 1068
53, 797
57, 96
58, 1136
65, 194
70, 700
86, 987
89, 88
99, 624
100, 766
103, 288
103, 647
104, 1072
109, 988
110, 288
110, 850
111, 1061
113, 673
113, 682
113, 975
119, 644
119, 1072
129, 1182
131, 73
133, 982
141, 273
143, 837
143, 860
144, 253
155, 751
157, 268
163, 65
164, 672
164, 990
165, 103
167, 328
168, 1139
171, 1160
172, 1109
175, 65
182, 1141
183, 97
184, 640
193, 271
193, 771
194, 129
198, 640
198, 914
199, 940
200, 495
203, 1137
212, 93
214, 914
216, 939
224, 142
228, 190
238, 308
238, 1179
242, 139
245, 948
257, 1038
261, 1169
267, 945
268, 195
272, 455
277, 869
278, 521
282, 481
287, 455
288, 191
289, 478
302, 650
308, 484
309, 787
311, 539
318, 197
323, 126
332, 74
341, 127
343, 387
350, 838
350, 1017
351, 997
354, 203
354, 872
356, 864
356, 923
360, 590
363, 269
363, 274
363, 387
366, 678
369, 839
377, 678
378, 964
381, 796
385, 968
387, 868
391, 836
402, 140
406, 870
411, 723
411, 836
422, 27
427, 330
431, 719
432, 747
433, 1177
435, 469
442, 25
446, 1081
450, 746
453, 476
458, 459
463, 714
466, 136
466, 619
468, 67
475, 456
480, 982
481, 939
481, 1100
489, 57
489, 473
495, 1050
500, 661
505, 808
506, 751
515, 40
520, 535
521, 669
521, 949
522, 555
524, 447
525, 16
525, 293
527, 644
530, 293
535, 108
540, 1174
541, 644
547, 249
548, 444
555, 1148
561, 1170
562, 399
572, 420
579, 457
584, 419
585, 174
594, 771
595, 805
596, 1173
605, 1019
605, 1036
615, 913
616, 466
617, 956
620, 270
629, 790
634, 816
636, 407
636, 412
636, 1043
636, 1051
654, 346
657, 614
660, 117
662, 1188
669, 562
673, 619
702, 271
705, 571
722, 986
726, 776
726, 783
730, 803
735, 337
746, 177
748, 855
755, 595
760, 386
770, 809
777, 382
781, 490
786, 324
