9, 238
13, 220
16, 191
23, 220
25, 18
36, 194
45, 226
51, 166
54, 147
57, 23
65, 117
69, 132
69, 145
74, 148
78, 229
79, 169
82, 3
82, 17
95, 134
96, 114
96, 132
96, 134
96, 147
97, 132
99, 114
99, 148
102, 168
103, 100
122, 13
124, 120
125, 130
125, 146
126, 128
126, 130
127, 103
127, 128
138, 131
138, 147
161, 138
161, 147
182, 47
182, 53
183, 147
186, 148
187, 148
188, 15
192, 157
192, 158
205, 69
210, 43
214, 163
217, 162
227, 120
229, 148
229, 183
229, 186
232, 195
232, 209
234, 146
234, 148
241, 97
242, 97
249, 180
249, 194
255, 115
270, 126
270, 134
270, 159
274, 143
276, 121
276, 122
285, 94
293, 236
299, 155
304, 155
308, 200
310, 200
321, 125
332, 193
335, 203
